status,runid,age,age_err,group,aliquot,sample,label_name
True,ogohbbai,37.0,6.0,1,0,ogohbbai,ogohbbai
True,ogohbbti,45.0,2.0,2,0,ogohbbti,ogohbbti
True,spellharrisonbb,205.0,1.0,3,0,spellharrisonbb,spellharrisonbb
True,reneaugardEC,54.5,6.5,4,0,reneaugardEC,reneaugardEC
True,toyodagoffEC,53.0,6.0,5,0,toyodagoffEC,toyodagoffEC
True,toyodagoffBSR,59.0,9.0,6,0,toyodagoffBSR,toyodagoffBSR
True,leppergoffBB1,140.0,22.0,7,0,leppergoffBB1,leppergoffBB1
True,leppergoffBB2,20.7,2.5,8,0,leppergoffBB2,leppergoffBB2
True,leppergoffBB3,34.0,4.2,9,0,leppergoffBB3,leppergoffBB3
True,zimmEC,74.4,1.3,10,0,zimmEC,zimmEC
True,zimmBB,68.3,1.5,11,0,zimmBB,zimmBB
